sample_id	source_index	gw_retrieval	gw_fidelity	gw_safety	gw_coverage	gw_structure	vl_retrieval	vl_fidelity	vl_safety	vl_coverage	vl_structure	source_anomaly	winner	vl_beneficial	critical_field_notes	review_notes
I10	10	RETRIEVAL_PASS	MINOR_ERROR	NO_HALLUCINATION	COMPLETE_ENOUGH	TABLE_ERROR	RETRIEVAL_PASS	CRITICAL_ERROR	HALLUCINATION_CONFIRMED	COMPLETE_ENOUGH	TABLE_ERROR	NONE	GW	false	Original 제4조 ③항; VL emits 제4조 ⑨항	VL fixes many typos but changes a clause number and contains Cyrillic m
I14	14	RETRIEVAL_PASS	CRITICAL_ERROR	NO_HALLUCINATION	COMPLETE_ENOUGH	TABLE_ERROR	RETRIEVAL_FAIL	CRITICAL_ERROR	NO_HALLUCINATION	EMPTY	TABLE_ERROR	NONE	GW	false	Original capital 1,000,000; GW 1,000.000; VL empty	GW remains searchable but has a material numeric error
I17	17	RETRIEVAL_BORDERLINE	CRITICAL_ERROR	NO_HALLUCINATION	COMPLETE_ENOUGH	TABLE_ERROR	RETRIEVAL_FAIL	CRITICAL_ERROR	NO_HALLUCINATION	EMPTY	TABLE_ERROR	NONE	BOTH_FAIL	false	Multiple business-purpose terms corrupted; VL empty	GW output length hides widespread silent term corruption
I18	18	RETRIEVAL_PASS	MINOR_ERROR	NO_HALLUCINATION	COMPLETE_ENOUGH	STRUCTURE_OK	RETRIEVAL_FAIL	CRITICAL_ERROR	NO_HALLUCINATION	EMPTY	OTHER_STRUCTURE_ERROR	NONE	GW	false	30 days and party-count copy requirements preserved by GW	VL empty
I19	19	RETRIEVAL_PASS	CRITICAL_ERROR	NO_HALLUCINATION	COMPLETE_ENOUGH	STRUCTURE_OK	RETRIEVAL_PASS	NO_MATERIAL_ERROR	NO_HALLUCINATION	COMPLETE_ENOUGH	STRUCTURE_OK	NONE	VL	true	GW 사체/부인하면/없에기/엑면금액; VL restores 사채/부언하면/없애기/액면금액	Clear silent-corruption rescue
I20	20	RETRIEVAL_PASS	MINOR_ERROR	NO_HALLUCINATION	COMPLETE_ENOUGH	STRUCTURE_OK	RETRIEVAL_PASS	MINOR_ERROR	HALLUCINATION_SUSPECT	COMPLETE_ENOUGH	STRUCTURE_OK	NONE	VL	false	VL header 가치분이의 differs from original 가처분이의	VL materially cleaner body but target definition not met because GW errors are non-critical
I24	24	RETRIEVAL_FAIL	CRITICAL_ERROR	NO_HALLUCINATION	SEVERE_OMISSION	TABLE_ERROR	RETRIEVAL_FAIL	CRITICAL_ERROR	NO_HALLUCINATION	TRUNCATED	OTHER_STRUCTURE_ERROR	ORIGINAL_LOW_QUALITY	BOTH_FAIL	false	GW invents unrelated Chinese table; VL stops after header	Only current v1 quarantine; no VL rescue
I26	26	RETRIEVAL_BORDERLINE	CRITICAL_ERROR	NO_HALLUCINATION	PARTIAL	STRUCTURE_OK	RETRIEVAL_PASS	NO_MATERIAL_ERROR	NO_HALLUCINATION	COMPLETE_ENOUGH	STRUCTURE_OK	NONE	VL	true	GW omits 피고·피항소인 B and 승계참가인 D; VL preserves parties and amounts	Coverage/party rescue despite healthy-looking GW
I35	35	RETRIEVAL_BORDERLINE	CRITICAL_ERROR	NO_HALLUCINATION	PARTIAL	STRUCTURE_OK	RETRIEVAL_PASS	NO_MATERIAL_ERROR	NO_HALLUCINATION	COMPLETE_ENOUGH	STRUCTURE_OK	NONE	VL	true	GW omits case 2024가단5205920 and document context; property itself correct	Sparse-page coverage rescue
I37	37	RETRIEVAL_FAIL	CRITICAL_ERROR	NO_HALLUCINATION	COMPLETE_ENOUGH	READING_ORDER_ERROR	RETRIEVAL_FAIL	CRITICAL_ERROR	NO_HALLUCINATION	EMPTY	OTHER_STRUCTURE_ERROR	ORIGINAL_LOW_QUALITY	BOTH_FAIL	false	GW replaces parties with digits and corrupts most clauses; VL empty	Hard semantic collapse passes v1 text gate
I42	42	RETRIEVAL_PASS	CRITICAL_ERROR	NO_HALLUCINATION	PARTIAL	STRUCTURE_OK	RETRIEVAL_PASS	CRITICAL_ERROR	NO_HALLUCINATION	COMPLETE_ENOUGH	STRUCTURE_OK	NONE	VL	false	GW truncates recipient address; VL changes 용죽1로 to 용죽로	VL cleaner overall but retains a critical address error
I46	46	RETRIEVAL_BORDERLINE	CRITICAL_ERROR	NO_HALLUCINATION	COMPLETE_ENOUGH	TABLE_ERROR	RETRIEVAL_FAIL	CRITICAL_ERROR	NO_HALLUCINATION	EMPTY	TABLE_ERROR	NONE	GW	false	Original plaintiff 손세라; GW 순세라; monetary rows preserved; VL empty	Entity search is unsafe despite usable numeric table
I49	49	RETRIEVAL_PASS	MINOR_ERROR	NO_HALLUCINATION	COMPLETE_ENOUGH	STRUCTURE_OK	RETRIEVAL_FAIL	CRITICAL_ERROR	NO_HALLUCINATION	TRUNCATED	OTHER_STRUCTURE_ERROR	NONE	GW	false	GW preserves dates 2023.6.30/2023.12.30 and cases; VL truncates at opening sentence	Clear harmful VL replacement
I56	56	RETRIEVAL_BORDERLINE	CRITICAL_ERROR	NO_HALLUCINATION	COMPLETE_ENOUGH	TABLE_ERROR	RETRIEVAL_BORDERLINE	CRITICAL_ERROR	HALLUCINATION_CONFIRMED	COMPLETE_ENOUGH	TABLE_ERROR	NONE	BOTH_FAIL	false	Both corrupt party names/address; VL invents or conflates registration digits and changes representative	Amounts are preserved but identity fields are unsafe
