sample_id	vl_source	gw_assessment	vl_assessment	winner	vl_beneficial	comparison_evidence
I03	initial	RETRIEVAL_PASS/MINOR_ERROR	RETRIEVAL_PASS/MINOR_ERROR	TIE	false	양쪽 날짜 보존; GW barcode noise; VL 조사 변경
I10	initial	RETRIEVAL_PASS/MINOR_ERROR	RETRIEVAL_PASS/CRITICAL_ERROR/HALLUCINATION_CONFIRMED	GW	false	VL이 원본 제4조 ③항을 ⑨항으로 변경
I14	retry-01	RETRIEVAL_PASS/CRITICAL_ERROR	RETRIEVAL_PASS/NO_MATERIAL_ERROR	VL	true	GW 자본금 1,000.000; VL은 원본 1,000,000 보존
I17	retry-01	RETRIEVAL_BORDERLINE/CRITICAL_ERROR	RETRIEVAL_PASS/NO_MATERIAL_ERROR	VL	true	VL이 사업목적 용어와 날짜 복구
I18	retry-01	RETRIEVAL_PASS/MINOR_ERROR	RETRIEVAL_PASS/MINOR_ERROR	GW	false	양쪽 핵심 기한 보존; VL wording error가 더 많음
I19	initial	RETRIEVAL_PASS/CRITICAL_ERROR	RETRIEVAL_PASS/NO_MATERIAL_ERROR	VL	true	VL이 사채/부언하면/없애기/액면금액 복구
I20	initial	RETRIEVAL_PASS/MINOR_ERROR	RETRIEVAL_PASS/MINOR_ERROR/HALLUCINATION_SUSPECT	VL	false	VL이 원본 가처분이의를 가치분이의로 변경
I24	initial	RETRIEVAL_FAIL/CRITICAL_ERROR/SEVERE_OMISSION	RETRIEVAL_FAIL/CRITICAL_ERROR/TRUNCATED	BOTH_FAIL	false	GW 무관 중국어 표; VL header 뒤 절단
I26	initial	RETRIEVAL_BORDERLINE/CRITICAL_ERROR/PARTIAL	RETRIEVAL_PASS/NO_MATERIAL_ERROR	VL	true	VL이 누락된 피고·피항소인과 승계참가인 복구
I35	initial	RETRIEVAL_BORDERLINE/CRITICAL_ERROR/PARTIAL	RETRIEVAL_PASS/NO_MATERIAL_ERROR	VL	true	VL이 사건번호와 문서 문맥 복구
I37	retry-01	RETRIEVAL_FAIL/CRITICAL_ERROR	RETRIEVAL_FAIL/CRITICAL_ERROR/TRUNCATED	BOTH_FAIL	false	GW 조항 광범위 훼손; VL ⑤항 중간 절단
I41	initial	RETRIEVAL_PASS/CRITICAL_ERROR	RETRIEVAL_PASS/CRITICAL_ERROR	TIE	false	양쪽 모두 테스타디앤씨를 테스타디엔씨로 변경
I42	initial	RETRIEVAL_PASS/CRITICAL_ERROR/PARTIAL	RETRIEVAL_PASS/CRITICAL_ERROR	VL	false	VL이 더 완전하지만 용죽1로를 용죽로로 변경
I46	retry-01	RETRIEVAL_BORDERLINE/CRITICAL_ERROR	RETRIEVAL_PASS/NO_MATERIAL_ERROR	VL	true	VL이 원고 손세라와 날짜·금액 보존
I49	initial	RETRIEVAL_PASS/MINOR_ERROR	RETRIEVAL_FAIL/CRITICAL_ERROR/TRUNCATED	GW	false	GW 날짜·사건번호 보존; VL 첫 문장 절단
I56	initial	RETRIEVAL_BORDERLINE/CRITICAL_ERROR	RETRIEVAL_BORDERLINE/CRITICAL_ERROR/HALLUCINATION_CONFIRMED	BOTH_FAIL	false	양쪽 신원 훼손; VL 등록번호 숫자 생성·혼합
